# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
SMED30015779			Unknown protein		
SMED30013117			Unknown protein		
SMED30015776			Unknown protein		
SMED30013116	tr|B7P6Y3|B7P6Y3_IXOSC	***	MAP kinase-activated protein kinase, putative		GO:0000166, GO:0004672, GO:0004674, GO:0004683, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740
SMED30015777			Unknown protein		
SMED30001133			Unknown protein		
SMED30003796	tr|A0A3R7FR97|A0A3R7FR97_CLOSI	***	Sorting nexin-13		GO:0035091
SMED30025100	tr|W5LZR7|W5LZR7_LEPOC	*-*	TNF receptor-associated factor		GO:0005164, GO:0005737, GO:0005829, GO:0007165, GO:0008270, GO:0033209, GO:0042981, GO:0046872
SMED30027763			Unknown protein		
SMED30001134			Unknown protein		
SMED30003795	tr|A0A210PZJ6|A0A210PZJ6_MIZYE	***	LIM homeobox transcription factor 1-alpha		GO:0003677, GO:0005634, GO:0006355, GO:0043565, GO:0046872
SMED30025101	tr|A0A504YRR8|A0A504YRR8_FASGI	***	Degenerin unc-8		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0016021, GO:0035725
SMED30027762			Unknown protein		
SMED30001131			Unknown protein		
SMED30003794			Unknown protein		
SMED30025102			Unknown protein		
SMED30027765	tr|A0A2M8DXE9|A0A2M8DXE9_9PROT	***	Plasmid replication initiator-like protein		
SMED30001132			Unknown protein		
SMED30003793	tr|R4WJW7|R4WJW7_RIPPE	***	Glycerate kinase		GO:0008887, GO:0016301, GO:0016310
SMED30025103	tr|A0A0G4AMA0|A0A0G4AMA0_LUCSE	***	Actin		GO:0000166, GO:0005524, GO:0005737, GO:0005856
SMED30027764			Unknown protein		
SMED30003792			Unknown protein		
SMED30001130			Unknown protein		
SMED30003791	tr|A0A1S3I5F2|A0A1S3I5F2_LINUN	*-*	leucine-rich repeat-containing protein 69-like		
SMED30003790			Unknown protein		
SMED30027761			Unknown protein		
SMED30027760	tr|E2AUE3|E2AUE3_CAMFO	***	General vesicular transport factor p115		GO:0000139, GO:0005737, GO:0006886, GO:0016192, GO:0048280
SMED30025108			Unknown protein		
SMED30025109	tr|A0A2C9JMP2|A0A2C9JMP2_BIOGL	*-*	Protein kinase domain-containing protein		GO:0004672, GO:0005524, GO:0006468
SMED30001139			Unknown protein		
SMED30001137			Unknown protein		
SMED30025104			Unknown protein		
SMED30027767			Unknown protein		
SMED30001138			Unknown protein		
SMED30003799			Unknown protein		
SMED30025105	tr|A0A068YAJ7|A0A068YAJ7_ECHMU	***	Plastin 3		GO:0003779, GO:0051015, GO:0051017
SMED30027766	tr|A0A4C1SV69|A0A4C1SV69_EUMVA	***	Zinc finger BED domain-containing protein 5		
SMED30001135			Unknown protein		
SMED30003798	tr|A0A1S3JHD0|A0A1S3JHD0_LINUN	***	cytochrome c oxidase assembly protein COX15 homolog		GO:0006784, GO:0016020, GO:0016021, GO:0016627, GO:0055114
SMED30025106	tr|D5JG54|D5JG54_DUGJA	*-*	Eukaryotic initiation factor-4G		GO:0003743, GO:0006413
SMED30027769			Unknown protein		
SMED30001136			Unknown protein		
SMED30003797			Unknown protein		
SMED30025107			Unknown protein		
SMED30027768			Unknown protein		
SMED30013122			Unknown protein		
SMED30015785	sp|Q641A1|GLD2A_XENLA	*-*	Poly(A) RNA polymerase GLD2-A		GO:0000166, GO:0004652, GO:0005515, GO:0005524, GO:0005737, GO:0006397, GO:0007275, GO:0016740, GO:0016779, GO:0030154, GO:0034062, GO:0043489, GO:0043631, GO:0046872, GO:0048477, GO:0070566, GO:2000626
SMED30013121			Unknown protein		
SMED30015786	tr|A0A1S3JVH1|A0A1S3JVH1_LINUN	***	ribosome-releasing factor 2, mitochondrial		GO:0003924, GO:0005525
SMED30013124	tr|W2SVI5|W2SVI5_NECAM	***	Aldehyde dehydrogenase family protein		GO:0016491, GO:0016620, GO:0055114
SMED30015783	tr|A0A210R6J1|A0A210R6J1_MIZYE	***	O-acyltransferase		GO:0005783, GO:0005789, GO:0008374, GO:0016020, GO:0016021, GO:0016740, GO:0016746
SMED30013123			Unknown protein		
SMED30015784			Unknown protein		
SMED30015781			Unknown protein		
SMED30015782			Unknown protein		
SMED30013120			Unknown protein		
SMED30015780	tr|A0A1A7XKM8|A0A1A7XKM8_9TELE	***	Solute carrier family 39 (Zinc transporter), member 7		GO:0016020, GO:0016021, GO:0030001, GO:0046873, GO:0055085
SMED30013129	tr|A0A2Z5X785|A0A2Z5X785_DUGJA	***	Gamma-aminobutyric acid receptor subunit beta A		GO:0004888, GO:0004890, GO:0005216, GO:0005230, GO:0005886, GO:0006811, GO:0016020, GO:0016021, GO:0034220
SMED30013126			Unknown protein		
SMED30015789			Unknown protein		
SMED30013125			Unknown protein		
SMED30013128	tr|A0A2H1CJC4|A0A2H1CJC4_FASHE	*-*	Death domain protein		GO:0007165
SMED30015787			Unknown protein		
SMED30013127			Unknown protein		
SMED30015788			Unknown protein		
SMED30001144	tr|A0A095AU26|A0A095AU26_SCHHA	*-*	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0016020, GO:0016021
SMED30027752	tr|A0A0X3PNB7|A0A0X3PNB7_SCHSO	***	Protein SYS1 homolog		GO:0000139, GO:0005794, GO:0015031, GO:0016020, GO:0016021
SMED30001145			Unknown protein		
SMED30027751			Unknown protein		
SMED30001142	tr|A0A068YD53|A0A068YD53_ECHMU	***	Cadherin		GO:0005509, GO:0016020, GO:0016021
SMED30027754			Unknown protein		
SMED30001143			Unknown protein		
SMED30027753			Unknown protein		
SMED30001140	tr|A0A218UB45|A0A218UB45_9PASE	*-*	RRP15-like protein		GO:0006364
SMED30001141	tr|A0A0K0E4W3|A0A0K0E4W3_STRER	*-*	DDE_Tnp_IS1595 domain-containing protein		
SMED30027750			Unknown protein		
SMED30027759			Unknown protein		
SMED30001148			Unknown protein		
SMED30027756			Unknown protein		
SMED30001149			Unknown protein		
SMED30027755	tr|W6U1S2|W6U1S2_ECHGR	*-*	TNF receptor-associated factor		GO:0007165, GO:0008270, GO:0042981, GO:0046872
SMED30001146	tr|A0A210PGZ6|A0A210PGZ6_MIZYE	***	Calcitonin receptor		GO:0004888, GO:0004930, GO:0007165, GO:0007166, GO:0007186, GO:0016020, GO:0016021
SMED30027758			Unknown protein		
SMED30001147	sp|Q01890|YPT1_PHYIN	***	Ras-like GTP-binding protein YPT1		GO:0000139, GO:0000166, GO:0003924, GO:0005525, GO:0005737, GO:0005783, GO:0005789, GO:0005794, GO:0006914, GO:0015031, GO:0016020, GO:0034045
SMED30027757	tr|A0A4Y2DDF7|A0A4Y2DDF7_ARAVE	*-*	CCHC-type domain-containing protein		GO:0003676, GO:0004190, GO:0006508, GO:0008270
SMED30013133	tr|A0A521E6Z3|A0A521E6Z3_9FLAO	*-*	50S ribosomal protein L21		GO:0003723, GO:0003735, GO:0005840, GO:0006412, GO:0019843
SMED30015796			Unknown protein		
SMED30013132	tr|A0A4E0RBQ8|A0A4E0RBQ8_FASHE	*-*	Septin-2		GO:0000166, GO:0005525
SMED30015797			Unknown protein		
SMED30013135			Unknown protein		
SMED30015794			Unknown protein		
SMED30013134	tr|A0A4C1X7C4|A0A4C1X7C4_EUMVA	*-*	BED-type domain-containing protein		GO:0003677
SMED30015795			Unknown protein		
SMED30015792	tr|T2M6R0|T2M6R0_HYDVU	*-*	Stimulated by retinoic acid gene 6 protein homolog		GO:0016020, GO:0016021
SMED30015793	sp|Q28DP6|PAX3_XENTR	***	Paired box protein Pax-3		GO:0003677, GO:0005634, GO:0006355, GO:0007275, GO:0007399, GO:0008543, GO:0014029, GO:0014034, GO:0016055, GO:0030154, GO:0043565, GO:0045893, GO:0048785
SMED30013131	tr|A0A1S3IP07|A0A1S3IP07_LINUN	***	protein PLANT CADMIUM RESISTANCE 2-like		
SMED30015790			Unknown protein		
SMED30013130			Unknown protein		
SMED30015791			Unknown protein		
SMED30013137			Unknown protein		
SMED30013136			Unknown protein		
SMED30013139			Unknown protein		
SMED30015798			Unknown protein		
SMED30013138			Unknown protein		
SMED30015799			Unknown protein		
SMED30001155			Unknown protein		
SMED30025122	tr|A0A1Y1M7D5|A0A1Y1M7D5_PHOPY	*-*	Dimer_Tnp_hAT domain-containing protein		GO:0046983
SMED30027785	tr|A0A4E0R4C9|A0A4E0R4C9_FASHE	***	39S ribosomal protein L28 mitochondrial		GO:0003735, GO:0005840
SMED30001156			Unknown protein		
SMED30025123			Unknown protein		
SMED30027784			Unknown protein		
SMED30001153	tr|A0A2K5Y4G9|A0A2K5Y4G9_MANLE	*-*	Cytosolic iron-sulfur assembly component 1		GO:0016226, GO:0097361
SMED30025124	sp|Q5I0R4|CF300_XENTR	***	Cilia- and flagella-associated protein 300		GO:0005737, GO:0005856, GO:0031514, GO:0042995
SMED30027787			Unknown protein		
SMED30001154			Unknown protein		
SMED30025125	tr|I1ZID8|I1ZID8_SCHMD	***	TNF receptor associated factor-2		GO:0046872
SMED30027786			Unknown protein		
SMED30001151	tr|A0A1S3H8X4|A0A1S3H8X4_LINUN	***	beta,beta-carotene 15,15'-dioxygenase		GO:0016702, GO:0046872, GO:0051213, GO:0055114
SMED30027781	tr|I1ZIK2|I1ZIK2_SCHMD	*-*	Retinoblastoma binding protein-1		GO:0005634
SMED30001152	sp|P39940|RSP5_YEAST	*--	E3 ubiquitin-protein ligase RSP5		
SMED30027780	tr|A0A090MXW5|A0A090MXW5_STRRB	*-*	JNK-interacting protein 3		GO:0005078, GO:0005623, GO:0009967, GO:0018991, GO:0019900, GO:0030159, GO:0030421, GO:0030424, GO:0040011, GO:0043025, GO:0043194, GO:0043410, GO:0045202, GO:0048489
SMED30025120			Unknown protein		
SMED30027783			Unknown protein		
SMED30001150	tr|A0A2H1CT60|A0A2H1CT60_FASHE	*-*	TGc domain-containing protein		GO:0016020, GO:0016021
SMED30025121	sp|P62262|1433E_SHEEP	*-*	14-3-3 protein epsilon		GO:0000165, GO:0005634, GO:0005737, GO:0034504, GO:0034605, GO:0042470, GO:0046827
SMED30027782			Unknown protein		
SMED30001159			Unknown protein		
SMED30025126	tr|K1PZL3|K1PZL3_CRAGI	*-*	Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase		GO:0016787
SMED30027789			Unknown protein		
SMED30025127	tr|A0A4C1YWZ6|A0A4C1YWZ6_EUMVA	*-*	Tigger transposable element-derived protein 1		GO:0003676, GO:0003677
SMED30027788			Unknown protein		
SMED30001157			Unknown protein		
SMED30025128			Unknown protein		
SMED30001158			Unknown protein		
SMED30025129			Unknown protein		
SMED30013144			Unknown protein		
SMED30013143			Unknown protein		
SMED30013146			Unknown protein		
SMED30013145	tr|A0A4D9EQX5|A0A4D9EQX5_9SAUR	***	Nucleolar protein 58		GO:0003924, GO:0005525
SMED30013140	tr|A0A432Q0K6|A0A432Q0K6_9AQUI	*-*	DDE_Tnp_1_7 domain-containing protein		GO:0016020, GO:0016021
SMED30013142			Unknown protein		
SMED30013141	tr|A0A139WEK4|A0A139WEK4_TRICA	***	Pleckstrin homology domain-containing family F member 2-like protein		GO:0046872
SMED30013148			Unknown protein		
SMED30013147			Unknown protein		
SMED30013149	tr|A0A2C9KLZ8|A0A2C9KLZ8_BIOGL	***	MIEAP domain-containing protein		GO:0005741, GO:0035694
SMED30001166	tr|A0A0C2I6B2|A0A0C2I6B2_THEKT	*-*	MULE domain-containing protein		GO:0016020, GO:0016021
SMED30025111			Unknown protein		
SMED30027774			Unknown protein		
SMED30001167	tr|H9H1G4|H9H1G4_MELGA	***	StAR related lipid transfer domain containing 3		GO:0005623, GO:0005654, GO:0005770, GO:0005789, GO:0008289, GO:0015485, GO:0016020, GO:0016021, GO:0030301, GO:0031902, GO:0042803, GO:0043231, GO:0044232, GO:0099044, GO:0120020, GO:0140284
SMED30025112	tr|A0A2T7NJU4|A0A2T7NJU4_POMCA	***	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0004930, GO:0007165, GO:0007186, GO:0016020, GO:0016021
SMED30027773	tr|A0A0V0U389|A0A0V0U389_9BILA	*-*	Non-specific serine/threonine protein kinase		GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0006468, GO:0016301, GO:0016310, GO:0016740
SMED30001164	sp|Q91060|TBA_NOTVI	***	Tubulin alpha chain		GO:0000166, GO:0003924, GO:0005200, GO:0005525, GO:0005737, GO:0005856, GO:0005874, GO:0007010, GO:0007017
SMED30025113			Unknown protein		
SMED30027776	tr|A0A4C1X7C4|A0A4C1X7C4_EUMVA	*-*	BED-type domain-containing protein		GO:0003677
SMED30001165	tr|K1R222|K1R222_CRAGI	***	Mitochondrial dicarboxylate carrier		GO:0005347, GO:0015867, GO:0016020, GO:0016021, GO:0055085
SMED30025114	sp|P90689|ACT_BRUMA	*-*	Actin		GO:0000166, GO:0005524, GO:0005737, GO:0005856
SMED30027775	tr|A0A504YN84|A0A504YN84_FASGI	***	EF-hand calcium-binding domain-containing protein 1		GO:0005509
SMED30001162			Unknown protein		
SMED30027770	tr|I1ZIA1|I1ZIA1_SCHMD	***	High mobility group-2		GO:0003677, GO:0005634
SMED30001163	tr|A0A4E0RHS9|A0A4E0RHS9_FASHE	*-*	Dynein heavy chain		GO:0003777, GO:0005524, GO:0007018, GO:0030286
SMED30001160			Unknown protein		
SMED30027772			Unknown protein		
SMED30001161	tr|A0A0H5R6C9|A0A0H5R6C9_9EUKA	*-*	Protein kinase domain-containing protein		GO:0004672, GO:0005524, GO:0006468
SMED30025110	tr|A0A1S8WZ36|A0A1S8WZ36_9TREM	***	Ribosomal protein L2 domain protein		GO:0003735, GO:0005840, GO:0006412
SMED30027771			Unknown protein		
SMED30025119			Unknown protein		
SMED30025115			Unknown protein		
SMED30027778			Unknown protein		
SMED30025116			Unknown protein		
SMED30027777			Unknown protein		
SMED30001168			Unknown protein		
SMED30025117			Unknown protein		
SMED30001169			Unknown protein		
SMED30025118			Unknown protein		
SMED30027779			Unknown protein		
SMED30003705	tr|T1HY73|T1HY73_RHOPR	*-*	Dimer_Tnp_hAT domain-containing protein		GO:0046983
SMED30003704			Unknown protein		
SMED30003703			Unknown protein		
SMED30003702			Unknown protein		
SMED30003701			Unknown protein		
SMED30003700	tr|M3XXP1|M3XXP1_MUSPF	***	Uridine-cytidine kinase		GO:0000166, GO:0004849, GO:0005524, GO:0016301, GO:0016310, GO:0016740, GO:0019206, GO:0044206, GO:0044211
SMED30003709			Unknown protein		
SMED30003708			Unknown protein		
SMED30003707			Unknown protein		
SMED30003706			Unknown protein		
SMED30003716	sp|Q4R591|G6PI_MACFA	***	Glucose-6-phosphate isomerase		GO:0004347, GO:0005125, GO:0005576, GO:0005615, GO:0005737, GO:0006094, GO:0006096, GO:0007165, GO:0016853, GO:0051156
SMED30003715			Unknown protein		
SMED30003714			Unknown protein		
SMED30003713			Unknown protein		
SMED30003712	tr|A0A3Q0KCG8|A0A3Q0KCG8_SCHMA	*-*	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0004930, GO:0007186, GO:0016020, GO:0016021
SMED30003711			Unknown protein		
SMED30003710	tr|A0A267EM18|A0A267EM18_9PLAT	*-*	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0004930, GO:0007186, GO:0016020, GO:0016021
SMED30003719			Unknown protein		
SMED30003718			Unknown protein		
SMED30003717			Unknown protein		
SMED30015705	tr|I1ZID8|I1ZID8_SCHMD	*-*	TNF receptor associated factor-2		GO:0046872
SMED30015706	sp|Q5R7N2|TWF1_PONAB	***	Twinfilin-1		GO:0003779, GO:0005737, GO:0005856, GO:0030837
SMED30015703	tr|K1QJQ0|K1QJQ0_CRAGI	***	IQ domain-containing protein D		
SMED30015704	tr|Q9BLF9|Q9BLF9_DUGJA	***	Hox class homeodomain protein DjAbd-Ba		GO:0003677, GO:0005634, GO:0006355, GO:0043565
SMED30015701			Unknown protein		
SMED30015702	tr|T1D136|T1D136_9PLAT	***	Inhibin-1		GO:0005576, GO:0007165, GO:0008083
SMED30015700	tr|A0A094KJV1|A0A094KJV1_PODCR	***	Mitochondrial import receptor subunit TOM70		
SMED30003727	tr|A0A4C1T672|A0A4C1T672_EUMVA	*-*	SCAN domain-containing protein 3		GO:0003677
SMED30003726			Unknown protein		
SMED30003725			Unknown protein		
SMED30003724	tr|A0A3R7G4C1|A0A3R7G4C1_CLOSI	*-*	16 kDa calcium-binding protein		GO:0005509
SMED30003723			Unknown protein		
SMED30003722			Unknown protein		
SMED30003721	tr|A0A4Z2D938|A0A4Z2D938_SCHJA	*-*	Dual specificity protein phosphatase 14		GO:0004725, GO:0006470, GO:0008138, GO:0016311, GO:0016787, GO:0016791, GO:0035335
SMED30003720	tr|A0A0H3YF85|A0A0H3YF85_SCHMD	***	Slc30a-10		GO:0006812, GO:0008324, GO:0016020, GO:0016021, GO:0055085, GO:0098655
SMED30003729	tr|A0A1I8I7N8|A0A1I8I7N8_9PLAT	***	Dynein light chain		GO:0003774, GO:0005509, GO:0005737, GO:0005856, GO:0005874, GO:0007017, GO:0030286
SMED30003728	tr|A0A0H3YFC8|A0A0H3YFC8_SCHMD	***	Slc43a-3		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30015716	tr|A0A087THM6|A0A087THM6_STEMI	***	Magnesium-dependent phosphatase 1		GO:0016311, GO:0016787, GO:0016791
SMED30015717	tr|A0A2J7RCG8|A0A2J7RCG8_9NEOP	***	Dimer_Tnp_hAT domain-containing protein		GO:0046983
SMED30015714			Unknown protein		
SMED30015715	tr|A0A3P7LUJ7|A0A3P7LUJ7_DIBLA	***	Serine/threonine-protein phosphatase		GO:0004721, GO:0006470, GO:0016787
SMED30015712			Unknown protein		
SMED30015713			Unknown protein		
SMED30015710	tr|A0A095A7B3|A0A095A7B3_SCHHA	***	Glycine receptor subunit alpha-3		GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006811, GO:0016020, GO:0016021, GO:0034220
SMED30015711			Unknown protein		
SMED30003730	tr|U6A492|U6A492_SCHMD	*-*	NCOA5		GO:0003676, GO:0003723
SMED30015709			Unknown protein		
SMED30015707	tr|F7FDZ3|F7FDZ3_CALJA	***	Muscarinic acetylcholine receptor		GO:0001696, GO:0004930, GO:0005886, GO:0005887, GO:0007165, GO:0007186, GO:0007213, GO:0015872, GO:0016020, GO:0016021, GO:0016907, GO:0019226, GO:0030054, GO:0045202, GO:0045211
SMED30015708			Unknown protein		
SMED30003738	tr|I1ZI61|I1ZI61_SCHMD	***	Hadrian		
SMED30027705	tr|A0A090LEE4|A0A090LEE4_STRRB	*-*	ATP-binding cassette sub-family F member 3		GO:0000166, GO:0005524, GO:0006417, GO:0016887, GO:0033138, GO:0042981
SMED30003737	tr|A0A267F4B7|A0A267F4B7_9PLAT	*-*	WSC domain-containing protein		
SMED30027704	sp|Q5DRC2|PCDG1_PANTR	*-*	Protocadherin gamma-A1		GO:0005509, GO:0005886, GO:0007155, GO:0007156, GO:0016020, GO:0016021
SMED30003736	tr|A0A087SXV8|A0A087SXV8_STEMI	*-*	Single-stranded DNA-binding protein 3		GO:0003677, GO:0003697
SMED30027707	tr|A0A1I8I605|A0A1I8I605_9PLAT	***	S-adenosylmethionine synthase		GO:0000166, GO:0004478, GO:0005524, GO:0006556, GO:0006730, GO:0016740, GO:0046872
SMED30003735			Unknown protein		
SMED30027706			Unknown protein		
SMED30003734			Unknown protein		
SMED30027701	tr|A0A068YDI3|A0A068YDI3_ECHMU	*-*	ATP dependent RNA helicase DDX5		GO:0000166, GO:0003676, GO:0004386, GO:0005524, GO:0016787
SMED30003733	tr|A0A1S6KMI8|A0A1S6KMI8_SCHMD	***	c-SKI_SMAD_bind domain-containing protein		GO:0046332
SMED30027700	tr|A0A0R3T453|A0A0R3T453_RODNA	*-*	Lipoyl synthase, mitochondrial		GO:0003824, GO:0005739, GO:0009107, GO:0009249, GO:0016740, GO:0016783, GO:0016992, GO:0046872, GO:0051536, GO:0051539
SMED30003732			Unknown protein		
SMED30027703			Unknown protein		
SMED30003731	tr|A0A3Q4HY57|A0A3Q4HY57_NEOBR	***	Nuclear receptor subfamily 2, group F, member 2		GO:0003677, GO:0003700, GO:0003707, GO:0005634, GO:0006355, GO:0008270, GO:0042025, GO:0043401, GO:0043565, GO:0046872
SMED30027702			Unknown protein		
SMED30015720			Unknown protein		
SMED30003739			Unknown protein		
SMED30015727			Unknown protein		
SMED30015728	tr|A0A0X3PI24|A0A0X3PI24_SCHSO	***	Proteasome subunit alpha type		GO:0000502, GO:0004175, GO:0004298, GO:0005634, GO:0005737, GO:0005839, GO:0006508, GO:0006511, GO:0008233, GO:0016787, GO:0019773, GO:0051603
SMED30015725			Unknown protein		
SMED30015726	tr|A0A5A9NLH9|A0A5A9NLH9_9TELE	***	Succinate dehydrogenase assembly factor 3, mitochondrial		GO:0005739, GO:0034553
SMED30015723	tr|A0A4E0S077|A0A4E0S077_FASHE	*-*	RNA-binding protein Musashi		GO:0003676, GO:0003723, GO:0003729
SMED30015724			Unknown protein		
SMED30015721	tr|A0A4E0RM77|A0A4E0RM77_FASHE	***	Diacylglycerol kinase		GO:0000166, GO:0003951, GO:0004143, GO:0005524, GO:0007165, GO:0007205, GO:0016301, GO:0016310, GO:0016740, GO:0035556, GO:0046872
SMED30015722			Unknown protein		
SMED30003741	tr|A0A4S2M5E9|A0A4S2M5E9_OPIFE	***	KH domain-containing protein		GO:0003676, GO:0003723
SMED30003740	tr|A0A0V0SFS5|A0A0V0SFS5_9BILA	*-*	Gag-Pro-Pol polyprotein		GO:0003676, GO:0004523, GO:0015074, GO:0090502
SMED30015718			Unknown protein		
SMED30015719	tr|H3B7S8|H3B7S8_LATCH	*-*	TNF receptor-associated factor		GO:0005164, GO:0005737, GO:0005829, GO:0007165, GO:0008270, GO:0033209, GO:0042981, GO:0046872
SMED30003749			Unknown protein		
SMED30003748			Unknown protein		
SMED30003747			Unknown protein		
SMED30003746			Unknown protein		
SMED30003745	tr|A0A1I8J0R4|A0A1I8J0R4_9PLAT	***	PBPe domain-containing protein		GO:0004970, GO:0005216, GO:0006811, GO:0015276, GO:0016020, GO:0016021, GO:0034220, GO:0035235, GO:0038023
SMED30003744			Unknown protein		
SMED30003743			Unknown protein		
SMED30003742	tr|F7F564|F7F564_MONDO	*-*	Fer3 like bHLH transcription factor		GO:0000122, GO:0000977, GO:0001227, GO:0005634, GO:0033504, GO:0045892, GO:0046983, GO:0048468, GO:0050767
SMED30025092			Unknown protein		
SMED30025093	tr|A0A1S3K3G3|A0A1S3K3G3_LINUN	*-*	serine/arginine repetitive matrix protein 1		
SMED30025094			Unknown protein		
SMED30025095			Unknown protein		
SMED30025090			Unknown protein		
SMED30025091			Unknown protein		
SMED30025096			Unknown protein		
SMED30025097	tr|A0A3R7EL06|A0A3R7EL06_CLOSI	*-*	Disintegrin and metalloproteinase domain-containing protein 19		GO:0004222, GO:0006508, GO:0007229, GO:0016020, GO:0016021
SMED30025098	tr|A0A2J7PT06|A0A2J7PT06_9NEOP	*-*	Epidermal growth factor receptor substrate 15-like 1		GO:0005509
SMED30025099			Unknown protein		
SMED30013276			Unknown protein		
SMED30013275			Unknown protein		
SMED30013278	tr|A0A1I8HG20|A0A1I8HG20_9PLAT	*-*	Serine/threonine-protein phosphatase		GO:0004721, GO:0005506, GO:0005509, GO:0006470, GO:0016787, GO:0030145, GO:0050906
SMED30013277			Unknown protein		
SMED30013272			Unknown protein		
SMED30013271			Unknown protein		
SMED30013274			Unknown protein		
SMED30013273			Unknown protein		
SMED30001290	tr|A0A0K0LJ33|A0A0K0LJ33_SCHMD	***	Semaphorin 5-3		GO:0016020, GO:0016021
SMED30001291	tr|A0A094ZLM0|A0A094ZLM0_SCHHA	***	Protein BUD31-like protein		GO:0005634
SMED30025260	tr|A0A3S5CMM6|A0A3S5CMM6_9PLAT	*-*	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0016020, GO:0016021
SMED30013279			Unknown protein		
SMED30001298			Unknown protein		
SMED30025265			Unknown protein		
SMED30001299			Unknown protein		
SMED30025266			Unknown protein		
SMED30001296	sp|Q5BL41|ARP2_XENTR	***	Actin-related protein 2		GO:0000166, GO:0003779, GO:0005524, GO:0005634, GO:0005737, GO:0005856, GO:0005885, GO:0007015, GO:0034314, GO:0035861, GO:0042995, GO:0045944, GO:1905168
SMED30025267	tr|A0A3R7CZT0|A0A3R7CZT0_CLOSI	*-*	SAGA-associated factor 11		GO:0005634
SMED30001297			Unknown protein		
SMED30025268			Unknown protein		
SMED30001294	tr|S4PXT4|S4PXT4_9NEOP	***	Phosphatidylinositol-binding clathrin assembly protein		GO:0005543, GO:0005545, GO:0030136, GO:0030276, GO:0048268
